# angle, barns/sr
0.00000e+00,1.00137e+01
5.01393e-01,1.00052e+01
1.00279e+00,9.97966e+00
1.50418e+00,9.93729e+00
2.00557e+00,9.87824e+00
2.50696e+00,9.80278e+00
3.00836e+00,9.71124e+00
3.50975e+00,9.60403e+00
4.01114e+00,9.48162e+00
4.51253e+00,9.34456e+00
5.01393e+00,9.19344e+00
5.51532e+00,9.02893e+00
6.01671e+00,8.85173e+00
6.51811e+00,8.66260e+00
7.01950e+00,8.46235e+00
7.52089e+00,8.25181e+00
8.02228e+00,8.03185e+00
8.52368e+00,7.80338e+00
9.02507e+00,7.56732e+00
9.52646e+00,7.32460e+00
1.00279e+01,7.07617e+00
1.05292e+01,6.82299e+00
1.10306e+01,6.56600e+00
1.15320e+01,6.30616e+00
1.20334e+01,6.04439e+00
1.25348e+01,5.78163e+00
1.30362e+01,5.51875e+00
1.35376e+01,5.25665e+00
1.40390e+01,4.99615e+00
1.45404e+01,4.73807e+00
1.50418e+01,4.48317e+00
1.55432e+01,4.23219e+00
1.60446e+01,3.98581e+00
1.65460e+01,3.74467e+00
1.70474e+01,3.50936e+00
1.75487e+01,3.28042e+00
1.80501e+01,3.05833e+00
1.85515e+01,2.84354e+00
1.90529e+01,2.63642e+00
1.95543e+01,2.43731e+00
2.00557e+01,2.24648e+00
2.05571e+01,2.06415e+00
2.10585e+01,1.89051e+00
2.15599e+01,1.72566e+00
2.20613e+01,1.56969e+00
2.25627e+01,1.42261e+00
2.30641e+01,1.28441e+00
2.35655e+01,1.15504e+00
2.40669e+01,1.03438e+00
2.45682e+01,9.22292e-01
2.50696e+01,8.18611e-01
2.55710e+01,7.23127e-01
2.60724e+01,6.35604e-01
2.65738e+01,5.55782e-01
2.70752e+01,4.83376e-01
2.75766e+01,4.18084e-01
2.80780e+01,3.59583e-01
2.85794e+01,3.07541e-01
2.90808e+01,2.61612e-01
2.95822e+01,2.21443e-01
3.00836e+01,1.86675e-01
3.05850e+01,1.56948e-01
3.10864e+01,1.31900e-01
3.15877e+01,1.11172e-01
3.20891e+01,9.44096e-02
3.25905e+01,8.12637e-02
3.30919e+01,7.13942e-02
3.35933e+01,6.44705e-02
3.40947e+01,6.01732e-02
3.45961e+01,5.81954e-02
3.50975e+01,5.82440e-02
3.55989e+01,6.00401e-02
3.61003e+01,6.33203e-02
3.66017e+01,6.78371e-02
3.71031e+01,7.33591e-02
3.76045e+01,7.96714e-02
3.81058e+01,8.65759e-02
3.86072e+01,9.38909e-02
3.91086e+01,1.01451e-01
3.96100e+01,1.09108e-01
4.01114e+01,1.16728e-01
4.06128e+01,1.24193e-01
4.11142e+01,1.31400e-01
4.16156e+01,1.38260e-01
4.21170e+01,1.44697e-01
4.26184e+01,1.50649e-01
4.31198e+01,1.56065e-01
4.36212e+01,1.60904e-01
4.41226e+01,1.65137e-01
4.46240e+01,1.68744e-01
4.51253e+01,1.71714e-01
4.56267e+01,1.74044e-01
4.61281e+01,1.75735e-01
4.66295e+01,1.76799e-01
4.71309e+01,1.77250e-01
4.76323e+01,1.77109e-01
4.81337e+01,1.76398e-01
4.86351e+01,1.75145e-01
4.91365e+01,1.73380e-01
4.96379e+01,1.71135e-01
5.01393e+01,1.68444e-01
5.06407e+01,1.65341e-01
5.11421e+01,1.61862e-01
5.16435e+01,1.58044e-01
5.21448e+01,1.53921e-01
5.26462e+01,1.49530e-01
5.31476e+01,1.44904e-01
5.36490e+01,1.40079e-01
5.41504e+01,1.35086e-01
5.46518e+01,1.29958e-01
5.51532e+01,1.24726e-01
5.56546e+01,1.19417e-01
5.61560e+01,1.14060e-01
