# angle, barns/sr
0.00000e+00,6.09786e-11
5.01393e-01,1.91924e-04
1.00279e+00,7.65692e-04
1.50418e+00,1.71533e-03
2.00557e+00,3.03094e-03
2.50696e+00,4.69885e-03
3.00836e+00,6.70172e-03
3.50975e+00,9.01881e-03
4.01114e+00,1.16261e-02
4.51253e+00,1.44968e-02
5.01393e+00,1.76014e-02
5.51532e+00,2.09080e-02
6.01671e+00,2.43829e-02
6.51811e+00,2.79909e-02
7.01950e+00,3.16955e-02
7.52089e+00,3.54595e-02
8.02228e+00,3.92455e-02
8.52368e+00,4.30159e-02
9.02507e+00,4.67338e-02
9.52646e+00,5.03631e-02
1.00279e+01,5.38688e-02
1.05292e+01,5.72178e-02
1.10306e+01,6.03786e-02
1.15320e+01,6.33222e-02
1.20334e+01,6.60220e-02
1.25348e+01,6.84543e-02
1.30362e+01,7.05983e-02
1.35376e+01,7.24364e-02
1.40390e+01,7.39543e-02
1.45404e+01,7.51410e-02
1.50418e+01,7.59893e-02
1.55432e+01,7.64950e-02
1.60446e+01,7.66576e-02
1.65460e+01,7.64801e-02
1.70474e+01,7.59685e-02
1.75487e+01,7.51321e-02
1.80501e+01,7.39832e-02
1.85515e+01,7.25369e-02
1.90529e+01,7.08107e-02
1.95543e+01,6.88246e-02
2.00557e+01,6.66006e-02
2.05571e+01,6.41624e-02
2.10585e+01,6.15352e-02
2.15599e+01,5.87454e-02
2.20613e+01,5.58201e-02
2.25627e+01,5.27873e-02
2.30641e+01,4.96749e-02
2.35655e+01,4.65110e-02
2.40669e+01,4.33230e-02
2.45682e+01,4.01382e-02
2.50696e+01,3.69825e-02
2.55710e+01,3.38810e-02
2.60724e+01,3.08575e-02
2.65738e+01,2.79340e-02
2.70752e+01,2.51311e-02
2.75766e+01,2.24672e-02
2.80780e+01,1.99589e-02
2.85794e+01,1.76208e-02
2.90808e+01,1.54653e-02
2.95822e+01,1.35025e-02
3.00836e+01,1.17405e-02
3.05850e+01,1.01848e-02
3.10864e+01,8.83926e-03
3.15877e+01,7.70523e-03
3.20891e+01,6.78219e-03
3.25905e+01,6.06762e-03
3.30919e+01,5.55719e-03
3.35933e+01,5.24485e-03
3.40947e+01,5.12295e-03
3.45961e+01,5.18245e-03
3.50975e+01,5.41302e-03
3.55989e+01,5.80324e-03
3.61003e+01,6.34073e-03
3.66017e+01,7.01237e-03
3.71031e+01,7.80439e-03
3.76045e+01,8.70262e-03
3.81058e+01,9.69260e-03
3.86072e+01,1.07597e-02
3.91086e+01,1.18895e-02
3.96100e+01,1.30674e-02
4.01114e+01,1.42795e-02
4.06128e+01,1.55119e-02
4.11142e+01,1.67515e-02
4.16156e+01,1.79858e-02
4.21170e+01,1.92029e-02
4.26184e+01,2.03917e-02
4.31198e+01,2.15419e-02
4.36212e+01,2.26440e-02
4.41226e+01,2.36896e-02
4.46240e+01,2.46711e-02
4.51253e+01,2.55818e-02
4.56267e+01,2.64160e-02
4.61281e+01,2.71689e-02
4.66295e+01,2.78366e-02
4.71309e+01,2.84162e-02
4.76323e+01,2.89054e-02
4.81337e+01,2.93028e-02
4.86351e+01,2.96081e-02
4.91365e+01,2.98212e-02
4.96379e+01,2.99430e-02
5.01393e+01,2.99749e-02
5.06407e+01,2.99190e-02
5.11421e+01,2.97777e-02
5.16435e+01,2.95540e-02
5.21448e+01,2.92514e-02
5.26462e+01,2.88734e-02
5.31476e+01,2.84242e-02
5.36490e+01,2.79080e-02
5.41504e+01,2.73294e-02
5.46518e+01,2.66930e-02
5.51532e+01,2.60036e-02
5.56546e+01,2.52661e-02
5.61560e+01,2.44854e-02
5.66574e+01,2.36666e-02
5.71588e+01,2.28147e-02
5.76602e+01,2.19347e-02
5.81616e+01,2.10315e-02
5.86630e+01,2.01100e-02
5.91643e+01,1.91752e-02
5.96657e+01,1.82317e-02
6.01671e+01,1.72844e-02
6.06685e+01,1.63377e-02
6.11699e+01,1.53962e-02
6.16713e+01,1.44643e-02
6.21727e+01,1.35461e-02
6.26741e+01,1.26459e-02
6.31755e+01,1.17677e-02
6.36769e+01,1.09152e-02
6.41783e+01,1.00922e-02
6.46797e+01,9.30215e-03
6.51811e+01,8.54853e-03
6.56825e+01,7.83448e-03
6.61838e+01,7.16299e-03
6.66852e+01,6.53687e-03
6.71866e+01,5.95868e-03
6.76880e+01,5.43079e-03
6.81894e+01,4.95531e-03
6.86908e+01,4.53408e-03
6.91922e+01,4.16869e-03
6.96936e+01,3.86045e-03
7.01950e+01,3.61036e-03
7.06964e+01,3.41912e-03
7.11978e+01,3.28711e-03
7.16992e+01,3.21437e-03
7.22006e+01,3.20060e-03
7.27019e+01,3.24517e-03
7.32033e+01,3.34707e-03
7.37047e+01,3.50497e-03
7.42061e+01,3.71715e-03
7.47075e+01,3.98155e-03
7.52089e+01,4.29578e-03
7.57103e+01,4.65708e-03
7.62117e+01,5.06240e-03
7.67131e+01,5.50835e-03
7.72145e+01,5.99126e-03
7.77159e+01,6.50718e-03
7.82173e+01,7.05193e-03
7.87187e+01,7.62111e-03
7.92201e+01,8.21011e-03
7.97214e+01,8.81421e-03
8.02228e+01,9.42852e-03
8.07242e+01,1.00481e-02
8.12256e+01,1.06680e-02
8.17270e+01,1.12833e-02
8.22284e+01,1.18889e-02
8.27298e+01,1.24801e-02
8.32312e+01,1.30522e-02
8.37326e+01,1.36006e-02
8.42340e+01,1.41210e-02
8.47354e+01,1.46094e-02
8.52368e+01,1.50619e-02
8.57382e+01,1.54752e-02
8.62396e+01,1.58462e-02
8.67409e+01,1.61723e-02
8.72423e+01,1.64511e-02
8.77437e+01,1.66808e-02
8.82451e+01,1.68602e-02
8.87465e+01,1.69884e-02
8.92479e+01,1.70649e-02
8.97493e+01,1.70900e-02
9.02507e+01,1.70641e-02
9.07521e+01,1.69883e-02
9.12535e+01,1.68642e-02
9.17549e+01,1.66937e-02
9.22563e+01,1.64793e-02
9.27577e+01,1.62237e-02
9.32591e+01,1.59301e-02
9.37604e+01,1.56020e-02
9.42618e+01,1.52431e-02
9.47632e+01,1.48575e-02
9.52646e+01,1.44494e-02
9.57660e+01,1.40231e-02
9.62674e+01,1.35831e-02
9.67688e+01,1.31338e-02
9.72702e+01,1.26798e-02
9.77716e+01,1.22255e-02
9.82730e+01,1.17752e-02
9.87744e+01,1.13331e-02
9.92758e+01,1.09030e-02
9.97772e+01,1.04888e-02
1.00279e+02,1.00938e-02
1.00780e+02,9.72105e-03
1.01281e+02,9.37331e-03
1.01783e+02,9.05289e-03
1.02284e+02,8.76169e-03
1.02786e+02,8.50119e-03
1.03287e+02,8.27244e-03
1.03788e+02,8.07604e-03
1.04290e+02,7.91214e-03
1.04791e+02,7.78047e-03
1.05292e+02,7.68032e-03
1.05794e+02,7.61061e-03
1.06295e+02,7.56985e-03
1.06797e+02,7.55623e-03
1.07298e+02,7.56762e-03
1.07799e+02,7.60162e-03
1.08301e+02,7.65561e-03
1.08802e+02,7.72677e-03
1.09304e+02,7.81217e-03
1.09805e+02,7.90879e-03
1.10306e+02,8.01356e-03
1.10808e+02,8.12347e-03
1.11309e+02,8.23553e-03
1.11811e+02,8.34692e-03
1.12312e+02,8.45494e-03
1.12813e+02,8.55713e-03
1.13315e+02,8.65128e-03
1.13816e+02,8.73546e-03
1.14318e+02,8.80804e-03
1.14819e+02,8.86776e-03
1.15320e+02,8.91371e-03
1.15822e+02,8.94536e-03
1.16323e+02,8.96257e-03
1.16825e+02,8.96556e-03
1.17326e+02,8.95497e-03
1.17827e+02,8.93177e-03
1.18329e+02,8.89729e-03
1.18830e+02,8.85318e-03
1.19331e+02,8.80139e-03
1.19833e+02,8.74410e-03
1.20334e+02,8.68372e-03
1.20836e+02,8.62284e-03
1.21337e+02,8.56413e-03
1.21838e+02,8.51036e-03
1.22340e+02,8.46428e-03
1.22841e+02,8.42864e-03
1.23343e+02,8.40604e-03
1.23844e+02,8.39896e-03
1.24345e+02,8.40967e-03
1.24847e+02,8.44018e-03
1.25348e+02,8.49219e-03
1.25850e+02,8.56707e-03
1.26351e+02,8.66580e-03
1.26852e+02,8.78895e-03
1.27354e+02,8.93664e-03
1.27855e+02,9.10855e-03
1.28357e+02,9.30387e-03
1.28858e+02,9.52135e-03
1.29359e+02,9.75924e-03
1.29861e+02,1.00154e-02
1.30362e+02,1.02871e-02
1.30864e+02,1.05714e-02
1.31365e+02,1.08649e-02
1.31866e+02,1.11638e-02
1.32368e+02,1.14642e-02
1.32869e+02,1.17619e-02
1.33370e+02,1.20525e-02
1.33872e+02,1.23314e-02
1.34373e+02,1.25943e-02
1.34875e+02,1.28366e-02
1.35376e+02,1.30541e-02
1.35877e+02,1.32425e-02
1.36379e+02,1.33981e-02
1.36880e+02,1.35171e-02
1.37382e+02,1.35966e-02
1.37883e+02,1.36337e-02
1.38384e+02,1.36263e-02
1.38886e+02,1.35728e-02
1.39387e+02,1.34722e-02
1.39889e+02,1.33240e-02
1.40390e+02,1.31287e-02
1.40891e+02,1.28872e-02
1.41393e+02,1.26013e-02
1.41894e+02,1.22732e-02
1.42396e+02,1.19062e-02
1.42897e+02,1.15039e-02
1.43398e+02,1.10707e-02
1.43900e+02,1.06117e-02
1.44401e+02,1.01322e-02
1.44903e+02,9.63840e-03
1.45404e+02,9.13651e-03
1.45905e+02,8.63350e-03
1.46407e+02,8.13617e-03
1.46908e+02,7.65174e-03
1.47409e+02,7.18747e-03
1.47911e+02,6.75057e-03
1.48412e+02,6.34817e-03
1.48914e+02,5.98715e-03
1.49415e+02,5.67422e-03
1.49916e+02,5.41560e-03
1.50418e+02,5.21698e-03
