# bin number, rate
2.20000e+01,1.03608e-05
2.30000e+01,1.15362e-03
2.40000e+01,6.12411e-02
2.50000e+01,1.69482e+00
2.60000e+01,2.63719e+01
2.70000e+01,2.46098e+02
2.80000e+01,1.45569e+03
2.90000e+01,5.72556e+03
3.00000e+01,1.56118e+04
3.10000e+01,3.06104e+04
3.20000e+01,4.45825e+04
3.30000e+01,4.96644e+04
3.40000e+01,4.34774e+04
3.50000e+01,3.07041e+04
3.60000e+01,1.79787e+04
3.70000e+01,9.01410e+03
3.80000e+01,4.03785e+03
3.90000e+01,1.71406e+03
4.00000e+01,7.42035e+02
4.10000e+01,3.49760e+02
4.20000e+01,1.84455e+02
4.30000e+01,1.07720e+02
4.40000e+01,6.81843e+01
4.50000e+01,4.59953e+01
4.60000e+01,3.26753e+01
4.70000e+01,2.42223e+01
4.80000e+01,1.85966e+01
4.90000e+01,1.46911e+01
5.00000e+01,1.18723e+01
5.10000e+01,9.76382e+00
