# bin number, rate
1.38000e+02,7.85822e-03
1.39000e+02,3.57992e-02
1.40000e+02,1.50333e-01
1.41000e+02,5.82951e-01
1.42000e+02,2.09094e+00
1.43000e+02,6.94868e+00
1.44000e+02,2.14297e+01
1.45000e+02,6.14273e+01
1.46000e+02,1.63910e+02
1.47000e+02,4.07749e+02
1.48000e+02,9.47012e+02
1.49000e+02,2.05640e+03
1.50000e+02,4.18070e+03
1.51000e+02,7.96832e+03
1.52000e+02,1.42572e+04
1.53000e+02,2.39779e+04
1.54000e+02,3.79532e+04
1.55000e+02,5.66086e+04
1.56000e+02,7.96606e+04
1.57000e+02,1.05890e+05
1.58000e+02,1.33114e+05
1.59000e+02,1.58440e+05
1.60000e+02,1.78764e+05
1.61000e+02,1.91414e+05
1.62000e+02,1.94738e+05
1.63000e+02,1.88461e+05
1.64000e+02,1.73703e+05
1.65000e+02,1.52667e+05
1.66000e+02,1.28115e+05
1.67000e+02,1.02794e+05
1.68000e+02,7.89783e+04
1.69000e+02,5.82035e+04
1.70000e+02,4.12229e+04
1.71000e+02,2.81249e+04
1.72000e+02,1.85380e+04
1.73000e+02,1.18486e+04
1.74000e+02,7.37958e+03
1.75000e+02,4.50844e+03
1.76000e+02,2.72592e+03
1.77000e+02,1.65043e+03
1.78000e+02,1.01560e+03
1.79000e+02,6.46329e+02
1.80000e+02,4.33421e+02
1.81000e+02,3.12015e+02
1.82000e+02,2.45377e+02
1.83000e+02,2.13774e+02
1.84000e+02,2.07268e+02
1.85000e+02,2.21188e+02
1.86000e+02,2.53317e+02
1.87000e+02,3.02121e+02
1.88000e+02,3.65672e+02
1.89000e+02,4.41067e+02
1.90000e+02,5.24283e+02
1.91000e+02,6.10390e+02
