# bin number, rate
4.61700e+03,9.69883e-02
4.61800e+03,1.20652e-01
4.61900e+03,1.49802e-01
4.62000e+03,1.85640e-01
4.62100e+03,2.29613e-01
4.62200e+03,2.83459e-01
4.62300e+03,3.49265e-01
4.62400e+03,4.29527e-01
4.62500e+03,5.27229e-01
4.62600e+03,6.45922e-01
4.62700e+03,7.89831e-01
4.62800e+03,9.63967e-01
4.62900e+03,1.17426e+00
4.63000e+03,1.42771e+00
4.63100e+03,1.73258e+00
4.63200e+03,2.09856e+00
4.63300e+03,2.53703e+00
4.63400e+03,3.06130e+00
4.63500e+03,3.68693e+00
4.63600e+03,4.43201e+00
4.63700e+03,5.31760e+00
4.63800e+03,6.36809e+00
4.63900e+03,7.61172e+00
4.64000e+03,9.08105e+00
4.64100e+03,1.08136e+01
4.64200e+03,1.28524e+01
4.64300e+03,1.52469e+01
4.64400e+03,1.80535e+01
4.64500e+03,2.13365e+01
4.64600e+03,2.51691e+01
4.64700e+03,2.96344e+01
4.64800e+03,3.48264e+01
4.64900e+03,4.08514e+01
4.65000e+03,4.78288e+01
4.65100e+03,5.58931e+01
4.65200e+03,6.51949e+01
4.65300e+03,7.59025e+01
4.65400e+03,8.82035e+01
4.65500e+03,1.02306e+02
4.65600e+03,1.18443e+02
4.65700e+03,1.36869e+02
4.65800e+03,1.57866e+02
4.65900e+03,1.81746e+02
4.66000e+03,2.08847e+02
4.66100e+03,2.39544e+02
4.66200e+03,2.74242e+02
4.66300e+03,3.13382e+02
4.66400e+03,3.57443e+02
4.66500e+03,4.06942e+02
4.66600e+03,4.62436e+02
4.66700e+03,5.24524e+02
4.66800e+03,5.93847e+02
4.66900e+03,6.71086e+02
4.67000e+03,7.56968e+02
4.67100e+03,8.52263e+02
4.67200e+03,9.57781e+02
4.67300e+03,1.07438e+03
4.67400e+03,1.20294e+03
4.67500e+03,1.34440e+03
4.67600e+03,1.49974e+03
4.67700e+03,1.66993e+03
4.67800e+03,1.85602e+03
4.67900e+03,2.05906e+03
4.68000e+03,2.28010e+03
4.68100e+03,2.52023e+03
4.68200e+03,2.78054e+03
4.68300e+03,3.06211e+03
4.68400e+03,3.36601e+03
4.68500e+03,3.69329e+03
4.68600e+03,4.04497e+03
4.68700e+03,4.42202e+03
4.68800e+03,4.82539e+03
4.68900e+03,5.25592e+03
4.69000e+03,5.71441e+03
4.69100e+03,6.20156e+03
4.69200e+03,6.71796e+03
4.69300e+03,7.26409e+03
4.69400e+03,7.84030e+03
4.69500e+03,8.44682e+03
4.69600e+03,9.08370e+03
4.69700e+03,9.75083e+03
4.69800e+03,1.04479e+04
4.69900e+03,1.11746e+04
4.70000e+03,1.19300e+04
4.70100e+03,1.27134e+04
4.70200e+03,1.35238e+04
4.70300e+03,1.43597e+04
4.70400e+03,1.52196e+04
4.70500e+03,1.61019e+04
4.70600e+03,1.70046e+04
4.70700e+03,1.79254e+04
4.70800e+03,1.88619e+04
4.70900e+03,1.98115e+04
4.71000e+03,2.07715e+04
4.71100e+03,2.17386e+04
4.71200e+03,2.27099e+04
4.71300e+03,2.36818e+04
4.71400e+03,2.46510e+04
4.71500e+03,2.56136e+04
4.71600e+03,2.65660e+04
4.71700e+03,2.75044e+04
4.71800e+03,2.84248e+04
4.71900e+03,2.93234e+04
4.72000e+03,3.01961e+04
4.72100e+03,3.10391e+04
4.72200e+03,3.18486e+04
4.72300e+03,3.26207e+04
4.72400e+03,3.33519e+04
4.72500e+03,3.40385e+04
4.72600e+03,3.46772e+04
4.72700e+03,3.52649e+04
4.72800e+03,3.57986e+04
4.72900e+03,3.62756e+04
4.73000e+03,3.66936e+04
4.73100e+03,3.70503e+04
4.73200e+03,3.73439e+04
4.73300e+03,3.75730e+04
4.73400e+03,3.77363e+04
4.73500e+03,3.78331e+04
4.73600e+03,3.78628e+04
4.73700e+03,3.78254e+04
4.73800e+03,3.77210e+04
4.73900e+03,3.75504e+04
