# bin number, rate
9.40000e+01,3.49993e-05
9.50000e+01,2.25669e-04
9.60000e+01,1.28228e-03
9.70000e+01,6.44600e-03
9.80000e+01,2.87754e-02
9.90000e+01,1.14483e-01
1.00000e+02,4.07332e-01
1.01000e+02,1.30043e+00
1.02000e+02,3.73712e+00
1.03000e+02,9.69690e+00
1.04000e+02,2.27853e+01
1.05000e+02,4.86217e+01
1.06000e+02,9.44815e+01
1.07000e+02,1.67627e+02
1.08000e+02,2.72219e+02
1.09000e+02,4.05629e+02
1.10000e+02,5.55898e+02
1.11000e+02,7.02261e+02
1.12000e+02,8.19571e+02
1.13000e+02,8.85469e+02
1.14000e+02,8.87443e+02
1.15000e+02,8.26684e+02
1.16000e+02,7.17119e+02
1.17000e+02,5.80351e+02
1.18000e+02,4.38938e+02
1.19000e+02,3.10792e+02
1.20000e+02,2.06352e+02
1.21000e+02,1.28680e+02
1.22000e+02,7.54823e+01
1.23000e+02,4.17121e+01
1.24000e+02,2.17464e+01
1.25000e+02,1.07109e+01
1.26000e+02,4.99082e+00
1.27000e+02,2.20287e+00
1.28000e+02,9.22212e-01
1.29000e+02,3.66633e-01
1.30000e+02,1.38583e-01
1.31000e+02,4.98614e-02
1.32000e+02,1.70957e-02
1.33000e+02,5.59174e-03
1.34000e+02,1.74664e-03
1.35000e+02,5.21556e-04
1.36000e+02,1.49029e-04
1.37000e+02,4.07880e-05
1.38000e+02,1.07027e-05
1.39000e+02,2.69492e-06
1.40000e+02,6.51742e-07
